description,category
Food cart with spoiled fruit smelling strongly near Old Town during early morning after heavy rain.,organic
Battery tote with old laptops dumped beside alley near Suburban cul-de-sac during storm aftermath during market day.,e-waste
Construction sack with black bags spread across verge near Transit hub during evening rush during market day.,illegal_dumping
Sofa set with scrap lumber leaning on hydrant near Old Town during holiday weekend after heavy rain.,bulk
Blue cart with glass jars strewn across curb near Tech campus during holiday weekend during market day.,recyclables
Battery crate with lab waste knocked on its side near Campus edge during holiday weekend during heat wave.,hazardous
Yard bag stack with leaf piles smelling strongly near Community garden during midnight patrol after parade.,organic
Device crate with motherboards mixed with trash near Riverbank during midnight patrol during heat wave.,e-waste
Trash bag pile with site rubble burned in pit near Riverbank during evening rush during heat wave.,illegal_dumping
Pallet mountain with metal frames leaning on hydrant near Riverbank during storm aftermath amid high winds.,bulk
Curbside tote with glass jars contaminated with trash near Downtown plaza during weekend cleanup after parade.,recyclables
Battery crate with lab waste leaking onto soil near Community garden during storm aftermath amid high winds.,hazardous
Food cart with leaf piles mixed with litter near Community garden during storm aftermath following festival.,organic
Battery tote with cables awaiting pickup near Campus edge during holiday weekend after heavy rain.,e-waste
Trash bag pile with black bags abandoned overnight near Community garden during holiday weekend during heat wave.,illegal_dumping
Pallet mountain with upholstery left for weeks near Bike lane near station during early morning after heavy rain.,bulk
Sorting bay with glass jars strewn across curb near Downtown plaza during midnight patrol amid high winds.,recyclables
Chemical tote with acidic runoff emitting fumes near Warehouse district during storm aftermath on foggy day.,hazardous
Food cart with rotting scraps mixed with litter near Downtown plaza during early morning on foggy day.,organic
Monitor pile with broken screens dumped beside alley near Transit hub during weekend cleanup after parade.,e-waste
Contractor debris with household junk abandoned overnight near Old Town during holiday weekend during market day.,illegal_dumping
Carpet roll with metal frames encroaching roadway near Shopping arcade during midnight patrol after parade.,bulk
Sorting bay with cardboard flats ignored by hauler near Shopping arcade during late afternoon after parade.,recyclables
Paint bucket with corrosive fluid knocked on its side near Downtown plaza during midnight patrol following festival.,hazardous
Yard bag stack with spoiled fruit drawing pests near City park during weekend cleanup after heavy rain.,organic
Printer stack with broken screens rusting outdoors near Tech campus during early morning on foggy day.,e-waste
Trash bag pile with mixed refuse burned in pit near Bike lane near station during noon inspection after heavy rain.,illegal_dumping
Pallet mountain with furniture encroaching roadway near Warehouse district during holiday weekend during market day.,bulk
Neighborhood bin with aluminum cans ignored by hauler near Bike lane near station during midnight patrol following festival.,recyclables
Battery crate with acidic runoff knocked on its side near Industrial park during noon inspection after parade.,hazardous
Compost bin with leaf piles mixed with litter near Transit hub during holiday weekend following festival.,organic
Server rack with broken screens mixed with trash near Community garden during noon inspection during heat wave.,e-waste
Mattress heap with site rubble blocking fire lane near Warehouse district during midnight patrol following festival.,illegal_dumping
Carpet roll with furniture left for weeks near Transit hub during late afternoon during heat wave.,bulk
Neighborhood bin with cardboard flats strewn across curb near Shopping arcade during holiday weekend during market day.,recyclables
Battery crate with corrosive fluid leaking onto soil near Industrial park during weekend cleanup amid high winds.,hazardous
Food cart with meat waste blocking walkway near Suburban cul-de-sac during noon inspection amid high winds.,organic
Server rack with lithium cells awaiting pickup near Industrial park during midnight patrol during heat wave.,e-waste
Mattress heap with site rubble tossed behind fence near Shopping arcade during evening rush during heat wave.,illegal_dumping
Pallet mountain with drywall sheets left for weeks near Tech campus during midnight patrol after heavy rain.,bulk
Drop-off cage with aluminum cans jammed and uncollected near Old Town during midnight patrol after heavy rain.,recyclables
Paint bucket with corrosive fluid leaking onto soil near Harbor pier during midnight patrol during market day.,hazardous
Yard bag stack with rotting scraps drawing pests near City park during midnight patrol amid high winds.,organic
Battery tote with motherboards stacked without cover near Downtown plaza during midnight patrol after parade.,e-waste
Pickup truck load with mixed refuse spread across verge near Suburban cul-de-sac during late afternoon following festival.,illegal_dumping
Appliance stack with metal frames left for weeks near Industrial park during late afternoon during heat wave.,bulk
Curbside tote with glass jars ignored by hauler near City park during weekend cleanup after parade.,recyclables
Battery crate with acidic runoff emitting fumes near Community garden during storm aftermath on foggy day.,hazardous
Grocery dumpster with rotting scraps smelling strongly near Bike lane near station during weekend cleanup on foggy day.,organic
Device crate with cables stacked without cover near Harbor pier during late afternoon during heat wave.,e-waste
Construction sack with black bags burned in pit near Suburban cul-de-sac during midnight patrol after heavy rain.,illegal_dumping
Timber bundle with drywall sheets encroaching roadway near Riverbank during weekend cleanup on foggy day.,bulk
Neighborhood bin with plastic bottles ignored by hauler near Transit hub during evening rush on foggy day.,recyclables
Oil drum with corrosive fluid seeping toward drain near Tech campus during midnight patrol following festival.,hazardous
Yard bag stack with rotting scraps mixed with litter near Shopping arcade during midnight patrol during market day.,organic
Server rack with old laptops rusting outdoors near Suburban cul-de-sac during holiday weekend after heavy rain.,e-waste
Construction sack with site rubble burned in pit near Industrial park during early morning after heavy rain.,illegal_dumping
Carpet roll with upholstery obstructing sidewalk near Tech campus during midnight patrol following festival.,bulk
Sorting bay with glass jars ignored by hauler near Bike lane near station during holiday weekend on foggy day.,recyclables
Solvent barrel with acidic runoff stored without label near Riverbank during holiday weekend on foggy day.,hazardous
Food cart with leaf piles drawing pests near Community garden during evening rush on foggy day.,organic
Battery tote with motherboards mixed with trash near Community garden during early morning amid high winds.,e-waste
Trash bag pile with site rubble blocking fire lane near Riverbank during storm aftermath after parade.,illegal_dumping
Carpet roll with scrap lumber encroaching roadway near Downtown plaza during weekend cleanup following festival.,bulk
Curbside tote with glass jars contaminated with trash near Tech campus during early morning during heat wave.,recyclables
Solvent barrel with toxic sludge emitting fumes near Suburban cul-de-sac during holiday weekend after heavy rain.,hazardous
Grocery dumpster with spoiled fruit smelling strongly near Industrial park during early morning following festival.,organic
Monitor pile with cables dumped beside alley near Suburban cul-de-sac during late afternoon during market day.,e-waste
Construction sack with site rubble burned in pit near Shopping arcade during midnight patrol amid high winds.,illegal_dumping
Pallet mountain with metal frames encroaching roadway near Harbor pier during evening rush amid high winds.,bulk
Curbside tote with cardboard flats strewn across curb near Community garden during late afternoon on foggy day.,recyclables
Paint bucket with lab waste emitting fumes near Community garden during early morning on foggy day.,hazardous
Grocery dumpster with meat waste mixed with litter near Community garden during evening rush amid high winds.,organic
Server rack with motherboards rusting outdoors near Tech campus during storm aftermath amid high winds.,e-waste
Mattress heap with household junk burned in pit near Campus edge during weekend cleanup after parade.,illegal_dumping
Sofa set with drywall sheets encroaching roadway near Shopping arcade during storm aftermath amid high winds.,bulk
Neighborhood bin with plastic bottles strewn across curb near Harbor pier during noon inspection after parade.,recyclables
Battery crate with corrosive fluid knocked on its side near Recreation center during holiday weekend after heavy rain.,hazardous
Yard bag stack with spoiled fruit drawing pests near Suburban cul-de-sac during midnight patrol on foggy day.,organic
Monitor pile with motherboards rusting outdoors near Campus edge during noon inspection during market day.,e-waste
Contractor debris with mixed refuse burned in pit near Riverbank during weekend cleanup during market day.,illegal_dumping
Appliance stack with furniture encroaching roadway near Riverbank during late afternoon amid high winds.,bulk
Drop-off cage with plastic bottles overflowing onto sidewalk near Warehouse district during early morning on foggy day.,recyclables
Paint bucket with acidic runoff seeping toward drain near Transit hub during storm aftermath following festival.,hazardous
Produce pallet with spoiled fruit drawing pests near City park during storm aftermath following festival.,organic
Battery tote with old laptops stacked without cover near Transit hub during holiday weekend during market day.,e-waste
Construction sack with site rubble tossed behind fence near Recreation center during holiday weekend on foggy day.,illegal_dumping
Sofa set with scrap lumber crushing plants near City park during midnight patrol during market day.,bulk
Drop-off cage with glass jars jammed and uncollected near Transit hub during storm aftermath after parade.,recyclables
Oil drum with toxic sludge stored without label near City park during noon inspection following festival.,hazardous
Food cart with rotting scraps mixed with litter near Industrial park during early morning following festival.,organic
Printer stack with lithium cells awaiting pickup near Tech campus during weekend cleanup following festival.,e-waste
Mattress heap with household junk burned in pit near Industrial park during evening rush during market day.,illegal_dumping
Sofa set with drywall sheets encroaching roadway near Downtown plaza during noon inspection during market day.,bulk
Blue cart with paper bundles jammed and uncollected near Shopping arcade during storm aftermath during heat wave.,recyclables
Chemical tote with lab waste emitting fumes near Harbor pier during midnight patrol after parade.,hazardous
Food cart with coffee grounds blocking walkway near Shopping arcade during noon inspection after parade.,organic
Battery tote with broken screens stacked without cover near Tech campus during weekend cleanup after parade.,e-waste
Contractor debris with site rubble tossed behind fence near Tech campus during storm aftermath after heavy rain.,illegal_dumping
Carpet roll with furniture encroaching roadway near Warehouse district during midnight patrol following festival.,bulk
Drop-off cage with plastic bottles strewn across curb near Suburban cul-de-sac during early morning following festival.,recyclables
Solvent barrel with toxic sludge leaking onto soil near Bike lane near station during holiday weekend during market day.,hazardous
Yard bag stack with rotting scraps smelling strongly near Downtown plaza during early morning on foggy day.,organic
Monitor pile with broken screens stacked without cover near Recreation center during evening rush amid high winds.,e-waste
Trash bag pile with demolition scraps spread across verge near City park during evening rush amid high winds.,illegal_dumping
Pallet mountain with upholstery encroaching roadway near Industrial park during early morning during market day.,bulk
Sorting bay with glass jars contaminated with trash near Transit hub during noon inspection after heavy rain.,recyclables
Solvent barrel with flammable mix leaking onto soil near Campus edge during midnight patrol during heat wave.,hazardous
Yard bag stack with rotting scraps smelling strongly near Bike lane near station during early morning after heavy rain.,organic
Device crate with cables rusting outdoors near Transit hub during late afternoon after parade.,e-waste
Contractor debris with household junk abandoned overnight near Warehouse district during evening rush after parade.,illegal_dumping
Timber bundle with metal frames leaning on hydrant near Harbor pier during midnight patrol after parade.,bulk
Blue cart with plastic bottles strewn across curb near Downtown plaza during noon inspection after parade.,recyclables
Solvent barrel with flammable mix leaking onto soil near Old Town during midnight patrol after heavy rain.,hazardous
Yard bag stack with meat waste drawing pests near Shopping arcade during late afternoon amid high winds.,organic
Server rack with old laptops rusting outdoors near Riverbank during holiday weekend following festival.,e-waste
Contractor debris with mixed refuse burned in pit near Industrial park during holiday weekend during market day.,illegal_dumping
Sofa set with scrap lumber encroaching roadway near Campus edge during late afternoon amid high winds.,bulk
Blue cart with plastic bottles jammed and uncollected near City park during evening rush after heavy rain.,recyclables
Paint bucket with lab waste knocked on its side near Harbor pier during noon inspection amid high winds.,hazardous
Yard bag stack with meat waste left in sun near Campus edge during late afternoon after parade.,organic
Printer stack with cables mixed with trash near Suburban cul-de-sac during weekend cleanup amid high winds.,e-waste
Construction sack with black bags spread across verge near Shopping arcade during late afternoon on foggy day.,illegal_dumping
Timber bundle with drywall sheets crushing plants near Old Town during holiday weekend after heavy rain.,bulk
Blue cart with plastic bottles contaminated with trash near Riverbank during noon inspection after parade.,recyclables
Solvent barrel with corrosive fluid knocked on its side near Harbor pier during noon inspection during market day.,hazardous
Yard bag stack with leaf piles mixed with litter near Community garden during early morning on foggy day.,organic
Server rack with broken screens rusting outdoors near Harbor pier during weekend cleanup during heat wave.,e-waste
Mattress heap with mixed refuse blocking fire lane near Community garden during noon inspection after heavy rain.,illegal_dumping
Carpet roll with metal frames encroaching roadway near Community garden during early morning following festival.,bulk
Blue cart with aluminum cans jammed and uncollected near Shopping arcade during midnight patrol on foggy day.,recyclables
Oil drum with toxic sludge seeping toward drain near City park during storm aftermath after heavy rain.,hazardous
Compost bin with rotting scraps left in sun near Transit hub during storm aftermath amid high winds.,organic
Server rack with cables awaiting pickup near Industrial park during noon inspection after parade.,e-waste
Pickup truck load with household junk abandoned overnight near Tech campus during early morning during market day.,illegal_dumping
Timber bundle with scrap lumber encroaching roadway near Suburban cul-de-sac during holiday weekend amid high winds.,bulk
Sorting bay with cardboard flats overflowing onto sidewalk near Warehouse district during storm aftermath after heavy rain.,recyclables
Solvent barrel with acidic runoff knocked on its side near Bike lane near station during midnight patrol after heavy rain.,hazardous
Yard bag stack with meat waste drawing pests near Downtown plaza during weekend cleanup on foggy day.,organic
Device crate with motherboards awaiting pickup near Warehouse district during late afternoon after heavy rain.,e-waste
Construction sack with household junk abandoned overnight near Campus edge during weekend cleanup following festival.,illegal_dumping
Sofa set with scrap lumber obstructing sidewalk near Campus edge during early morning amid high winds.,bulk
Drop-off cage with cardboard flats contaminated with trash near City park during storm aftermath during market day.,recyclables
Paint bucket with corrosive fluid stored without label near Downtown plaza during noon inspection during heat wave.,hazardous
Food cart with rotting scraps mixed with litter near Community garden during late afternoon during heat wave.,organic
Printer stack with lithium cells rusting outdoors near Riverbank during storm aftermath after parade.,e-waste
Trash bag pile with household junk blocking fire lane near Tech campus during evening rush after heavy rain.,illegal_dumping
Carpet roll with upholstery leaning on hydrant near Recreation center during noon inspection on foggy day.,bulk
Sorting bay with plastic bottles strewn across curb near Industrial park during weekend cleanup during heat wave.,recyclables
Oil drum with toxic sludge stored without label near Suburban cul-de-sac during holiday weekend during market day.,hazardous
Food cart with spoiled fruit mixed with litter near Riverbank during holiday weekend amid high winds.,organic
Server rack with old laptops dumped beside alley near Warehouse district during late afternoon on foggy day.,e-waste
Construction sack with mixed refuse tossed behind fence near Warehouse district during midnight patrol after heavy rain.,illegal_dumping
Carpet roll with upholstery left for weeks near Campus edge during holiday weekend following festival.,bulk
Neighborhood bin with cardboard flats strewn across curb near Warehouse district during holiday weekend following festival.,recyclables
Oil drum with acidic runoff leaking onto soil near Tech campus during noon inspection during market day.,hazardous
Grocery dumpster with spoiled fruit drawing pests near Transit hub during holiday weekend amid high winds.,organic
Server rack with motherboards awaiting pickup near Campus edge during storm aftermath after parade.,e-waste
Contractor debris with mixed refuse blocking fire lane near Riverbank during noon inspection after heavy rain.,illegal_dumping
Timber bundle with drywall sheets left for weeks near Community garden during evening rush on foggy day.,bulk
Curbside tote with aluminum cans jammed and uncollected near Industrial park during storm aftermath during heat wave.,recyclables
Paint bucket with lab waste stored without label near Bike lane near station during noon inspection after parade.,hazardous
Grocery dumpster with rotting scraps mixed with litter near Harbor pier during noon inspection after heavy rain.,organic
Server rack with cables stacked without cover near Warehouse district during holiday weekend during heat wave.,e-waste
Mattress heap with household junk tossed behind fence near Industrial park during late afternoon following festival.,illegal_dumping
Timber bundle with upholstery leaning on hydrant near City park during storm aftermath during heat wave.,bulk
Sorting bay with cardboard flats strewn across curb near Shopping arcade during holiday weekend after heavy rain.,recyclables
Paint bucket with toxic sludge stored without label near City park during midnight patrol after parade.,hazardous
Produce pallet with meat waste smelling strongly near Industrial park during holiday weekend after parade.,organic
Server rack with old laptops mixed with trash near Suburban cul-de-sac during midnight patrol after parade.,e-waste
Contractor debris with demolition scraps spread across verge near Old Town during weekend cleanup after parade.,illegal_dumping
Timber bundle with furniture encroaching roadway near Community garden during noon inspection following festival.,bulk
Curbside tote with plastic bottles jammed and uncollected near Riverbank during evening rush on foggy day.,recyclables
Solvent barrel with toxic sludge stored without label near Riverbank during weekend cleanup after parade.,hazardous
Food cart with rotting scraps mixed with litter near Downtown plaza during storm aftermath following festival.,organic
Device crate with lithium cells dumped beside alley near Warehouse district during weekend cleanup after heavy rain.,e-waste
Pickup truck load with site rubble abandoned overnight near Old Town during early morning on foggy day.,illegal_dumping
Appliance stack with scrap lumber encroaching roadway near City park during early morning after heavy rain.,bulk
Drop-off cage with aluminum cans strewn across curb near Harbor pier during storm aftermath after heavy rain.,recyclables
Chemical tote with flammable mix leaking onto soil near Downtown plaza during weekend cleanup amid high winds.,hazardous
Compost bin with rotting scraps mixed with litter near City park during early morning during market day.,organic
Device crate with motherboards mixed with trash near Downtown plaza during noon inspection during heat wave.,e-waste
Mattress heap with mixed refuse burned in pit near Warehouse district during late afternoon following festival.,illegal_dumping
Pallet mountain with scrap lumber obstructing sidewalk near Bike lane near station during storm aftermath on foggy day.,bulk
Blue cart with paper bundles overflowing onto sidewalk near Warehouse district during weekend cleanup during market day.,recyclables
Solvent barrel with flammable mix seeping toward drain near Downtown plaza during noon inspection following festival.,hazardous
Produce pallet with coffee grounds mixed with litter near Bike lane near station during evening rush after parade.,organic
Monitor pile with lithium cells dumped beside alley near Industrial park during weekend cleanup after heavy rain.,e-waste
Pickup truck load with site rubble blocking fire lane near Harbor pier during storm aftermath after parade.,illegal_dumping
Timber bundle with furniture leaning on hydrant near Industrial park during noon inspection after parade.,bulk
Drop-off cage with paper bundles overflowing onto sidewalk near Tech campus during noon inspection amid high winds.,recyclables
Battery crate with acidic runoff emitting fumes near Old Town during holiday weekend during market day.,hazardous
Food cart with meat waste blocking walkway near Tech campus during late afternoon during market day.,organic
Monitor pile with lithium cells rusting outdoors near Community garden during evening rush following festival.,e-waste
Trash bag pile with mixed refuse tossed behind fence near Warehouse district during midnight patrol on foggy day.,illegal_dumping
Carpet roll with scrap lumber leaning on hydrant near Shopping arcade during holiday weekend on foggy day.,bulk
Blue cart with paper bundles ignored by hauler near Campus edge during midnight patrol during market day.,recyclables
Oil drum with acidic runoff emitting fumes near Harbor pier during evening rush after heavy rain.,hazardous
Grocery dumpster with coffee grounds drawing pests near Old Town during late afternoon during heat wave.,organic
Server rack with lithium cells rusting outdoors near Downtown plaza during evening rush during market day.,e-waste
Trash bag pile with site rubble spread across verge near Tech campus during late afternoon following festival.,illegal_dumping
Carpet roll with drywall sheets encroaching roadway near Warehouse district during midnight patrol during heat wave.,bulk
Blue cart with aluminum cans contaminated with trash near Harbor pier during storm aftermath following festival.,recyclables
Paint bucket with flammable mix stored without label near Transit hub during midnight patrol during market day.,hazardous
Produce pallet with rotting scraps smelling strongly near Community garden during late afternoon amid high winds.,organic
Battery tote with broken screens awaiting pickup near Bike lane near station during noon inspection during market day.,e-waste
Contractor debris with demolition scraps blocking fire lane near Recreation center during midnight patrol after parade.,illegal_dumping
Appliance stack with drywall sheets left for weeks near Transit hub during late afternoon during heat wave.,bulk
Sorting bay with glass jars overflowing onto sidewalk near Warehouse district during noon inspection amid high winds.,recyclables
Solvent barrel with corrosive fluid leaking onto soil near Industrial park during storm aftermath during market day.,hazardous
Grocery dumpster with coffee grounds mixed with litter near Community garden during late afternoon during heat wave.,organic
Monitor pile with lithium cells mixed with trash near Bike lane near station during noon inspection during heat wave.,e-waste
Mattress heap with black bags burned in pit near Recreation center during early morning after parade.,illegal_dumping
Carpet roll with metal frames crushing plants near Old Town during evening rush on foggy day.,bulk
Drop-off cage with cardboard flats jammed and uncollected near Community garden during late afternoon on foggy day.,recyclables
Solvent barrel with flammable mix seeping toward drain near Bike lane near station during midnight patrol following festival.,hazardous
Grocery dumpster with spoiled fruit left in sun near City park during evening rush during heat wave.,organic
Printer stack with broken screens dumped beside alley near Riverbank during early morning during market day.,e-waste
Mattress heap with demolition scraps spread across verge near City park during early morning amid high winds.,illegal_dumping
Timber bundle with scrap lumber leaning on hydrant near Tech campus during storm aftermath on foggy day.,bulk
Blue cart with plastic bottles strewn across curb near Suburban cul-de-sac during storm aftermath amid high winds.,recyclables
Chemical tote with flammable mix knocked on its side near Old Town during noon inspection after parade.,hazardous
Food cart with coffee grounds smelling strongly near Tech campus during noon inspection following festival.,organic
Server rack with cables mixed with trash near Riverbank during midnight patrol amid high winds.,e-waste
Mattress heap with mixed refuse tossed behind fence near Industrial park during storm aftermath after parade.,illegal_dumping
Appliance stack with metal frames crushing plants near Recreation center during noon inspection during heat wave.,bulk
Neighborhood bin with cardboard flats contaminated with trash near Suburban cul-de-sac during midnight patrol amid high winds.,recyclables
Oil drum with acidic runoff knocked on its side near Suburban cul-de-sac during weekend cleanup during heat wave.,hazardous
Compost bin with rotting scraps blocking walkway near Suburban cul-de-sac during holiday weekend on foggy day.,organic
Monitor pile with lithium cells stacked without cover near Recreation center during midnight patrol during market day.,e-waste
Construction sack with site rubble tossed behind fence near Campus edge during early morning following festival.,illegal_dumping
Timber bundle with upholstery crushing plants near Riverbank during storm aftermath following festival.,bulk
Curbside tote with paper bundles ignored by hauler near Bike lane near station during late afternoon during heat wave.,recyclables
Battery crate with flammable mix emitting fumes near Harbor pier during noon inspection after parade.,hazardous
Produce pallet with meat waste left in sun near Campus edge during early morning after heavy rain.,organic
Device crate with motherboards mixed with trash near Harbor pier during holiday weekend during heat wave.,e-waste
Trash bag pile with demolition scraps blocking fire lane near Old Town during storm aftermath following festival.,illegal_dumping
Carpet roll with drywall sheets left for weeks near Community garden during holiday weekend during market day.,bulk
Neighborhood bin with plastic bottles jammed and uncollected near Warehouse district during late afternoon amid high winds.,recyclables
Oil drum with lab waste stored without label near Industrial park during weekend cleanup during market day.,hazardous
Grocery dumpster with coffee grounds smelling strongly near Harbor pier during storm aftermath during heat wave.,organic
Monitor pile with old laptops dumped beside alley near Transit hub during early morning amid high winds.,e-waste
Construction sack with household junk spread across verge near Shopping arcade during weekend cleanup amid high winds.,illegal_dumping
Sofa set with metal frames left for weeks near Transit hub during noon inspection during market day.,bulk
Curbside tote with glass jars jammed and uncollected near Old Town during holiday weekend following festival.,recyclables
Solvent barrel with flammable mix emitting fumes near City park during holiday weekend during heat wave.,hazardous
Food cart with meat waste blocking walkway near Transit hub during midnight patrol after parade.,organic
Device crate with lithium cells awaiting pickup near Suburban cul-de-sac during noon inspection following festival.,e-waste
Trash bag pile with mixed refuse burned in pit near Bike lane near station during storm aftermath amid high winds.,illegal_dumping
Appliance stack with drywall sheets obstructing sidewalk near Industrial park during late afternoon on foggy day.,bulk
Drop-off cage with glass jars strewn across curb near Transit hub during midnight patrol following festival.,recyclables
Chemical tote with corrosive fluid knocked on its side near Shopping arcade during weekend cleanup during heat wave.,hazardous
Grocery dumpster with spoiled fruit smelling strongly near Downtown plaza during late afternoon amid high winds.,organic
Battery tote with broken screens stacked without cover near Downtown plaza during evening rush amid high winds.,e-waste
Construction sack with household junk blocking fire lane near Warehouse district during midnight patrol during market day.,illegal_dumping
Sofa set with upholstery leaning on hydrant near Harbor pier during early morning during heat wave.,bulk
